,x,y,z,radian
1469,3.7991266375545862,-6.580280360632853,1899.0,5.235987755982989
1614,5.143207638195792,-2.9694323144104833,1899.0,5.759586531581287
20,5.502183406113538,0.0,1900.0,0.0
165,5.93737940585838,3.427947598253275,1900.0,0.5235987755982988
310,3.558951965065503,6.164285625190545,1900.0,1.0471975511965976
455,4.117808014600271e-16,6.724890829694323,1900.0,1.5707963267948966
600,-3.3406113537117896,5.786108592970268,1900.0,2.0943951023931953
745,-5.748290889748239,3.3187772925764185,1900.0,2.6179938779914944
890,-6.550218340611353,8.021703924545981e-16,1900.0,3.141592653589793
1035,-5.786108592970268,-3.340611353711792,1900.0,3.6651914291880923
1180,-3.4279475982532785,-5.937379405858378,1900.0,4.1887902047863905
1325,-1.3797330750219091e-15,-7.510917030567687,1900.0,4.71238898038469
1470,3.406113537117905,-5.899561702636351,1900.0,5.235987755982989
1615,5.899561702636349,-3.4061135371179074,1900.0,5.759586531581287
21,6.113537117903931,0.0,1901.0,0.0
166,5.748290889748239,3.3187772925764185,1901.0,0.5235987755982988
311,3.668122270742359,6.3533741413006855,1901.0,1.0471975511965976
456,4.27824209309119e-16,6.986899563318778,1901.0,1.5707963267948966
601,-3.2096069868995625,5.559202373638101,1901.0,2.0943951023931953
746,-5.672655483304183,3.2751091703056763,1901.0,2.6179938779914944
891,-6.462882096069869,7.914747872218702e-16,1901.0,3.141592653589793
1036,-5.3701138575279606,-3.1004366812227087,1901.0,3.6651914291880923
1181,-3.056768558951968,-5.294478451083904,1901.0,4.1887902047863905
1326,-1.0668866219646156e-15,-5.807860262008734,1901.0,4.71238898038469
1471,3.1877729257641927,-5.5213846704160705,1901.0,5.235987755982989
1616,5.105389934973763,-2.9475982532751117,1901.0,5.759586531581287
22,6.375545851528384,0.0,1902.0,0.0
167,5.823926296192296,3.362445414847161,1902.0,0.5235987755982988
312,2.969432314410481,5.143207638195793,1902.0,1.0471975511965976
457,3.636505779127512e-16,5.938864628820961,1902.0,1.5707963267948966
602,-2.8602620087336232,4.954119122085654,1902.0,2.0943951023931953
747,-4.954119122085654,2.860262008733624,1902.0,2.6179938779914944
892,-5.851528384279476,7.166055505927744e-16,1902.0,3.141592653589793
1037,-4.991936825307681,-2.882096069868996,1902.0,3.6651914291880923
1182,-2.9257641921397406,-5.067572231751736,1902.0,4.1887902047863905
1327,-1.0588649180400695e-15,-5.764192139737991,1902.0,4.71238898038469
1472,2.7510917030567694,-4.7650306059755145,1902.0,5.235987755982989
1617,4.538124386643346,-2.620087336244544,1902.0,5.759586531581287
23,6.026200873362446,0.0,1903.0,0.0
168,5.899561702636352,3.406113537117904,1903.0,0.5235987755982988
313,3.0349344978165953,5.256660747861877,1903.0,1.0471975511965976
458,3.2354205829002127e-16,5.283842794759826,1903.0,1.5707963267948966
603,-2.663755458515283,4.613759793087404,1903.0,2.0943951023931953
