Entity,Code,Year,Annual CO₂ emissions,Country (or dependency),Population (2020),Density (P/Km²),Land Area (Km²)
North Macedonia,MKD,2020.0,6954272.0,North Macedonia,2083359,83,25220
Slovenia,SVN,2020.0,12854907.0,Slovenia,2078989,103,20140
Guinea-Bissau,GNB,2020.0,296784.0,Guinea-Bissau,1975718,70,28120
Latvia,LVA,2020.0,6999913.0,Latvia,1882408,30,62200
Bahrain,BHR,2020.0,37395950.0,Bahrain,1711057,2239,760
Equatorial Guinea,GNQ,2020.0,5524802.0,Equatorial Guinea,1410419,50,28050
Trinidad and Tobago,TTO,2020.0,35029664.0,Trinidad and Tobago,1400283,273,5130
Estonia,EST,2020.0,9238881.0,Estonia,1326693,31,42390
Mauritius,MUS,2020.0,3806896.0,Mauritius,1272140,626,2030
Cyprus,CYP,2020.0,6910908.0,Cyprus,1208886,131,9240
Eswatini,SWZ,2020.0,1091872.0,Eswatini,1162233,67,17200
Djibouti,DJI,2020.0,382454.0,Djibouti,990447,43,23180
Fiji,FJI,2020.0,1040951.94,Fiji,897573,49,18270
Comoros,COM,2020.0,381056.0,Comoros,872695,467,1861
Guyana,GUY,2020.0,3188380.0,Guyana,787215,4,196850
Bhutan,BTN,2020.0,919762.0,Bhutan,773069,20,38117
Solomon Islands,SLB,2020.0,289456.0,Solomon Islands,689671,25,27990
Macao,MAC,2020.0,1033247.94,Macao,650846,21645,30
Montenegro,MNE,2020.0,2407248.0,Montenegro,628080,47,13450
Luxembourg,LUX,2020.0,8067690.0,Luxembourg,627704,242,2590
Suriname,SUR,2020.0,2917944.0,Suriname,587541,4,156000
Maldives,MDV,2020.0,1648800.0,Maldives,542151,1802,300
Malta,MLT,2020.0,1597200.0,Malta,441750,1380,320
Brunei,BRN,2020.0,11101930.0,Brunei,438202,83,5270
Belize,BLZ,2020.0,613332.0,Belize,398845,17,22810
Bahamas,BHS,2020.0,2183744.0,Bahamas,393893,39,10010
Iceland,ISL,2020.0,3339561.0,Iceland,341628,3,100250
Vanuatu,VUT,2020.0,201520.0,Vanuatu,308337,25,12190
Barbados,BRB,2020.0,1233549.0,Barbados,287437,668,430
New Caledonia,NCL,2020.0,5109173.0,New Caledonia,285972,16,18280
French Polynesia,PYF,2020.0,846384.0,French Polynesia,281191,77,3660
Samoa,WSM,2020.0,241824.0,Samoa,198643,70,2830
Saint Lucia,LCA,2020.0,483648.0,Saint Lucia,183774,301,610
Kiribati,KIR,2020.0,65952.0,Kiribati,119760,147,810
Grenada,GRD,2020.0,289456.0,Grenada,112614,331,340
Aruba,ABW,2020.0,890352.0,Aruba,106845,593,180
Tonga,TON,2020.0,183200.0,Tonga,105901,147,720
Seychelles,SYC,2020.0,608224.0,Seychelles,98453,214,460
Antigua and Barbuda,ATG,2020.0,619216.0,Antigua and Barbuda,98069,223,440
Andorra,AND,2020.0,373728.0,Andorra,77287,164,470
Dominica,DMA,2020.0,157552.0,Dominica,72017,96,750
Bermuda,BMU,2020.0,458000.0,Bermuda,62237,1246,50
Marshall Islands,MHL,2020.0,146560.0,Marshall Islands,59259,329,180
